8;41;[(6, 0, 7, 15), (14, 8, 15, 7), (5, 9, 6, 8), (9, 5, 10, 4), (3, 11, 4, 10), (11, 3, 12, 2), (1, 13, 2, 12), (13, 1, 14, 0)]
8;42;[(9, 3, 10, 2), (10, 1, 11, 2), (11, 8, 12, 9), (7, 12, 8, 13), (13, 6, 14, 7), (5, 14, 6, 15), (15, 4, 0, 5), (3, 0, 4, 1)]
8;43;[(6, 0, 7, 15), (7, 14, 8, 15), (5, 9, 6, 8), (9, 5, 10, 4), (3, 11, 4, 10), (11, 3, 12, 2), (1, 13, 2, 12), (13, 1, 14, 0)]
8;44;[(2, 9, 3, 10), (1, 11, 2, 10), (11, 8, 12, 9), (7, 12, 8, 13), (13, 6, 14, 7), (5, 14, 6, 15), (15, 4, 0, 5), (3, 0, 4, 1)]
8;45;[(15, 6, 0, 7), (14, 8, 15, 7), (5, 9, 6, 8), (9, 5, 10, 4), (3, 11, 4, 10), (11, 3, 12, 2), (1, 13, 2, 12), (13, 1, 14, 0)]
8;46;[(2, 9, 3, 10), (10, 1, 11, 2), (11, 8, 12, 9), (7, 12, 8, 13), (13, 6, 14, 7), (5, 14, 6, 15), (15, 4, 0, 5), (3, 0, 4, 1)]
8;47;[(15, 6, 0, 7), (7, 14, 8, 15), (5, 9, 6, 8), (9, 5, 10, 4), (3, 11, 4, 10), (11, 3, 12, 2), (1, 13, 2, 12), (13, 1, 14, 0)]
9;48;[(11, 2, 12, 3), (1, 10, 2, 11), (9, 12, 10, 13), (13, 8, 14, 9), (7, 14, 8, 15), (15, 6, 16, 7), (5, 16, 6, 17), (17, 4, 0, 5), (3, 0, 4, 1)]
9;49;[(8, 17, 9, 0), (16, 7, 17, 8), (9, 7, 10, 6), (5, 11, 6, 10), (11, 5, 12, 4), (3, 13, 4, 12), (13, 3, 14, 2), (1, 15, 2, 14), (15, 1, 16, 0)]
9;50;[(11, 2, 12, 3), (10, 2, 11, 1), (9, 12, 10, 13), (13, 8, 14, 9), (7, 14, 8, 15), (15, 6, 16, 7), (5, 16, 6, 17), (17, 4, 0, 5), (3, 0, 4, 1)]
9;51;[(8, 17, 9, 0), (7, 17, 8, 16), (9, 7, 10, 6), (5, 11, 6, 10), (11, 5, 12, 4), (3, 13, 4, 12), (13, 3, 14, 2), (1, 15, 2, 14), (15, 1, 16, 0)]
9;52;[(2, 12, 3, 11), (1, 10, 2, 11), (9, 12, 10, 13), (13, 8, 14, 9), (7, 14, 8, 15), (15, 6, 16, 7), (5, 16, 6, 17), (17, 4, 0, 5), (3, 0, 4, 1)]
9;53;[(17, 9, 0, 8), (16, 7, 17, 8), (9, 7, 10, 6), (5, 11, 6, 10), (11, 5, 12, 4), (3, 13, 4, 12), (13, 3, 14, 2), (1, 15, 2, 14), (15, 1, 16, 0)]
9;54;[(2, 12, 3, 11), (10, 2, 11, 1), (9, 12, 10, 13), (13, 8, 14, 9), (7, 14, 8, 15), (15, 6, 16, 7), (5, 16, 6, 17), (17, 4, 0, 5), (3, 0, 4, 1)]
9;55;[(17, 9, 0, 8), (7, 17, 8, 16), (9, 7, 10, 6), (5, 11, 6, 10), (11, 5, 12, 4), (3, 13, 4, 12), (13, 3, 14, 2), (1, 15, 2, 14), (15, 1, 16, 0)]
10;56;[(11, 3, 12, 2), (1, 13, 2, 12), (13, 10, 14, 11), (9, 14, 10, 15), (15, 8, 16, 9), (7, 16, 8, 17), (17, 6, 18, 7), (5, 18, 6, 19), (19, 4, 0, 5), (3, 0, 4, 1)]
10;57;[(8, 0, 9, 19), (18, 10, 19, 9), (7, 11, 8, 10), (11, 7, 12, 6), (5, 13, 6, 12), (13, 5, 14, 4), (3, 15, 4, 14), (15, 3, 16, 2), (1, 17, 2, 16), (17, 1, 18, 0)]
10;58;[(11, 3, 12, 2), (12, 1, 13, 2), (13, 10, 14, 11), (9, 14, 10, 15), (15, 8, 16, 9), (7, 16, 8, 17), (17, 6, 18, 7), (5, 18, 6, 19), (19, 4, 0, 5), (3, 0, 4, 1)]
10;59;[(8, 0, 9, 19), (9, 18, 10, 19), (7, 11, 8, 10), (11, 7, 12, 6), (5, 13, 6, 12), (13, 5, 14, 4), (3, 15, 4, 14), (15, 3, 16, 2), (1, 17, 2, 16), (17, 1, 18, 0)]
10;60;[(2, 11, 3, 12), (1, 13, 2, 12), (13, 10, 14, 11), (9, 14, 10, 15), (15, 8, 16, 9), (7, 16, 8, 17), (17, 6, 18, 7), (5, 18, 6, 19), (19, 4, 0, 5), (3, 0, 4, 1)]
10;61;[(19, 8, 0, 9), (18, 10, 19, 9), (7, 11, 8, 10), (11, 7, 12, 6), (5, 13, 6, 12), (13, 5, 14, 4), (3, 15, 4, 14), (15, 3, 16, 2), (1, 17, 2, 16), (17, 1, 18, 0)]
10;62;[(2, 11, 3, 12), (12, 1, 13, 2), (13, 10, 14, 11), (9, 14, 10, 15), (15, 8, 16, 9), (7, 16, 8, 17), (17, 6, 18, 7), (5, 18, 6, 19), (19, 4, 0, 5), (3, 0, 4, 1)]
10;63;[(19, 8, 0, 9), (9, 18, 10, 19), (7, 11, 8, 10), (11, 7, 12, 6), (5, 13, 6, 12), (13, 5, 14, 4), (3, 15, 4, 14), (15, 3, 16, 2), (1, 17, 2, 16), (17, 1, 18, 0)]
11;64;[(13, 2, 14, 3), (1, 12, 2, 13), (11, 14, 12, 15), (15, 10, 16, 11), (9, 16, 10, 17), (17, 8, 18, 9), (7, 18, 8, 19), (19, 6, 20, 7), (5, 20, 6, 21), (21, 4, 0, 5), (3, 0, 4, 1)]
